0612709286;0451524934;2026-01-10;ATTIVO
0623457812;0156001314;2026-01-12;ATTIVO
0619982345;0141439513;2026-01-15;ATTIVO
0631124567;0618640150;2026-01-18;ATTIVO
0608745123;1451673310;2026-01-20;ATTIVO
0627890345;0684801221;2026-01-22;ATTIVO
0615567890;0140449132;2026-01-25;ATTIVO
0640234512;0060883286;2026-01-28;ATTIVO
0634509876;0451526341;2026-02-01;ATTIVO
0609987123;0743273567;2026-02-03;ATTIVO
0621345098;0142437247;2026-02-05;ATTIVO
0618765432;0805210407;2026-02-08;ATTIVO
0639871204;0141439556;2026-02-10;ATTIVO
0603456789;0060934344;2026-02-12;ATTIVO
0645678901;014143984X;2026-02-15;ATTIVO
0612340987;0141439475;2026-02-18;ATTIVO
0629083456;0141439572;2026-02-20;ATTIVO
0634561209;0199232768;2026-02-22;ATTIVO
0607891234;0140449175;2026-02-25;ATTIVO
0641237890;0061120081;2026-02-28;ATTIVO
0619982345;0156001314;2026-01-13;ATTIVO
0619982345;0451524934;2026-01-13;ATTIVO
